,hr,ndcg
0,0.08941877794336811,0.038959446157788825
1,0.706408345752608,0.4458827699235725
2,0.7421758569299552,0.4915324576187373
3,0.7764530551415797,0.5264675280944515
4,0.8062593144560357,0.5389353262612396
5,0.8002980625931445,0.550698756353011
6,0.8062593144560357,0.5525966834859188
7,0.8092399403874814,0.5518759629383853
8,0.8092399403874814,0.5580713156574056
9,0.7958271236959762,0.5576896312795653
10,0.7958271236959762,0.5538898779912257
11,0.7988077496274217,0.5470767100904184
12,0.819672131147541,0.5647061181925811
13,0.8017883755588674,0.5598482973083317
14,0.8137108792846498,0.5726737842827901
15,0.8092399403874814,0.5647530308053812
16,0.8077496274217586,0.5643203644016638
17,0.8062593144560357,0.571331460707975
18,0.7988077496274217,0.5644830440577987
19,0.812220566318927,0.57435603806768
20,0.8137108792846498,0.575899017967283
21,0.8107302533532041,0.5731769070161706
22,0.812220566318927,0.5797569179515348
23,0.8152011922503726,0.5828207020374815
24,0.8047690014903129,0.5653999114913791
25,0.8241430700447094,0.5806005512481167
26,0.8166915052160953,0.5833071392983138
27,0.8077496274217586,0.5692748312796568
28,0.8152011922503726,0.5852873945287769
29,0.8137108792846498,0.5801113286650238
30,0.8107302533532041,0.5746504482155148
31,0.8152011922503726,0.5819809564838466
32,0.8077496274217586,0.5771917858695236
33,0.8166915052160953,0.5746887441070418
34,0.819672131147541,0.5779721177765238
35,0.812220566318927,0.5772256531506065
36,0.8107302533532041,0.5718330824446056
37,0.812220566318927,0.5807271598365221
38,0.8047690014903129,0.5720059358472526
39,0.8137108792846498,0.5739713290207595
40,0.8181818181818182,0.5847234256145655
41,0.8181818181818182,0.5799790804076362
42,0.8211624441132638,0.5702465434379272
43,0.8137108792846498,0.5755281130090064
44,0.8166915052160953,0.5714682336369805
45,0.8137108792846498,0.5673051951021244
46,0.8062593144560357,0.5704184140320089
47,0.8077496274217586,0.5787837509951366
48,0.8047690014903129,0.5690472661880159
49,0.8107302533532041,0.5737718733422565
50,0.8092399403874814,0.5734515668007228
51,0.8092399403874814,0.5732039025139154
52,0.8047690014903129,0.5771180486820199
53,0.8062593144560357,0.5804114651645397
54,0.8047690014903129,0.5655396291715947
55,0.8092399403874814,0.5764948101491975
56,0.8032786885245902,0.5734325899386485
57,0.8002980625931445,0.5658196944296434
58,0.8002980625931445,0.5620582768525441
59,0.8062593144560357,0.5732731583826804
60,0.7988077496274217,0.5706708809820102
61,0.7913561847988078,0.5678331814728439
62,0.7988077496274217,0.5631416280730438
63,0.8047690014903129,0.5699484840592982
64,0.7958271236959762,0.5739891995484612
65,0.7958271236959762,0.5625993815972686
66,0.789865871833085,0.5680479021507652
67,0.8002980625931445,0.5663455152025849
68,0.789865871833085,0.5614889613589393
69,0.7943368107302533,0.5711767620662602
70,0.7958271236959762,0.5753115952126132
71,0.7928464977645305,0.5687564540572672
72,0.7958271236959762,0.5640254498787629
73,0.8047690014903129,0.5647476721153197
74,0.797317436661699,0.5607157157310544
75,0.8077496274217586,0.5651380757735533
76,0.797317436661699,0.5561106639883078
77,0.8032786885245902,0.5620858937418678
78,0.8092399403874814,0.5684532903476994
79,0.8092399403874814,0.5704411969834282
80,0.8062593144560357,0.5735586198441293
81,0.8032786885245902,0.5619945051195306
82,0.7943368107302533,0.5726113679314512
83,0.7958271236959762,0.5697331251520464
84,0.8077496274217586,0.5733345817410609
85,0.8002980625931445,0.569098719679795
86,0.8092399403874814,0.5755739881116416
87,0.7928464977645305,0.5698453468340031
88,0.7913561847988078,0.5719662083106941
89,0.8062593144560357,0.5802278766775774
90,0.8017883755588674,0.5729791494263804
91,0.8017883755588674,0.5808334574928006
92,0.797317436661699,0.5723180010083982
93,0.7988077496274217,0.5707009703156116
94,0.797317436661699,0.5713988969949386
95,0.7958271236959762,0.5698860511153526
96,0.8032786885245902,0.5717766531811119
97,0.7928464977645305,0.5706887914243037
98,0.797317436661699,0.568718542746604
99,0.7943368107302533,0.5708763206695412
100,0.7958271236959762,0.5695306639098767
